id,model,favs,downloads,url
c65c45a0-168f-491f-8d84-603e172c9fe0,"Wren And Cuff Tall Font, Peavey Ultra 60w",9,30,https://tonehunt.org/helgab/c65c45a0-168f-491f-8d84-603e172c9fe0
d5889b4d-f607-4c7d-8173-f6f41ad8261f,Vox Pathfinder 15R,4,13,https://tonehunt.org/TheCheapCleaner/d5889b4d-f607-4c7d-8173-f6f41ad8261f
b8b2cda4-2e96-448f-b6e7-1616024a25e9,DIY 5E3,14,43,https://tonehunt.org/OutmodedElectronics/b8b2cda4-2e96-448f-b6e7-1616024a25e9
b8b2cda4-2e96-448f-b6e7-1616024a25e9,DIY 5E3,14,43,https://tonehunt.org/OutmodedElectronics/b8b2cda4-2e96-448f-b6e7-1616024a25e9
43786710-803c-442f-b87d-bc769fa51153,Marshall DSL100HR + BCC Tony Iommi Pedal,7,24,https://tonehunt.org/markswarbrick/43786710-803c-442f-b87d-bc769fa51153
43786710-803c-442f-b87d-bc769fa51153,Marshall DSL100HR + BCC Tony Iommi Pedal,7,24,https://tonehunt.org/markswarbrick/43786710-803c-442f-b87d-bc769fa51153
8a628d14-4850-47a0-88b4-b2175ef50b55,Three models from Laney IRT Pulse,9,25,https://tonehunt.org/TomLaney/8a628d14-4850-47a0-88b4-b2175ef50b55
8a628d14-4850-47a0-88b4-b2175ef50b55,Three models from Laney IRT Pulse,9,25,https://tonehunt.org/TomLaney/8a628d14-4850-47a0-88b4-b2175ef50b55
0bf0fcd0-c502-4a5e-badf-9cd1a012e38a,Peavey Ultra 60w,22,41,https://tonehunt.org/helgab/0bf0fcd0-c502-4a5e-badf-9cd1a012e38a
0bf0fcd0-c502-4a5e-badf-9cd1a012e38a,Peavey Ultra 60w,22,41,https://tonehunt.org/helgab/0bf0fcd0-c502-4a5e-badf-9cd1a012e38a
4bb1bb22-7af2-404b-994f-f41c10550261,Mesa Boogie DC-5 Channel 2,7,22,https://tonehunt.org/obi-Juan/4bb1bb22-7af2-404b-994f-f41c10550261
f10bbabb-35b5-4ff2-b90b-b2156fead15e,Marshall AFD100,11,29,https://tonehunt.org/brianbuckles/f10bbabb-35b5-4ff2-b90b-b2156fead15e
38fe8e58-57a2-42df-8461-5a730193cd7e,Fender Super-Sonic 60W Head mk.1 - Flat EQ - Complete Pack,17,52,https://tonehunt.org/elgringoloco/38fe8e58-57a2-42df-8461-5a730193cd7e
38fe8e58-57a2-42df-8461-5a730193cd7e,Fender Super-Sonic 60W Head mk.1 - Flat EQ - Complete Pack,17,52,https://tonehunt.org/elgringoloco/38fe8e58-57a2-42df-8461-5a730193cd7e
b114de4f-0d11-4e31-a940-f42cfd4130d9,Seymour Duncanc - King Tone Generator,2,9,https://tonehunt.org/lucenstuff/b114de4f-0d11-4e31-a940-f42cfd4130d9
b5313a0e-afe7-4e79-91d3-a0f75f95c428,EVH 5150 III Red Channel,22,54,https://tonehunt.org/obi-Juan/b5313a0e-afe7-4e79-91d3-a0f75f95c428
b5313a0e-afe7-4e79-91d3-a0f75f95c428,EVH 5150 III Red Channel,22,54,https://tonehunt.org/obi-Juan/b5313a0e-afe7-4e79-91d3-a0f75f95c428
56f69188-89b8-4b8d-8614-29a419090d90,Soldano SP-77 preamp,9,33,https://tonehunt.org/brianbuckles/56f69188-89b8-4b8d-8614-29a419090d90
56f69188-89b8-4b8d-8614-29a419090d90,Soldano SP-77 preamp,9,33,https://tonehunt.org/brianbuckles/56f69188-89b8-4b8d-8614-29a419090d90
030b9f87-8b64-4de4-905c-cefd8686571f,Hotone Heart Attack & Vulcan Five-O,6,25,https://tonehunt.org/BryanHolmes/030b9f87-8b64-4de4-905c-cefd8686571f
030b9f87-8b64-4de4-905c-cefd8686571f,Hotone Heart Attack & Vulcan Five-O,6,25,https://tonehunt.org/BryanHolmes/030b9f87-8b64-4de4-905c-cefd8686571f
33ca4a6d-2701-4f99-8fd6-db6dd677932d,Peavey MP4 + Fox Pedal Defector Fuzz,4,17,https://tonehunt.org/markswarbrick/33ca4a6d-2701-4f99-8fd6-db6dd677932d
33ca4a6d-2701-4f99-8fd6-db6dd677932d,Peavey MP4 + Fox Pedal Defector Fuzz,4,17,https://tonehunt.org/markswarbrick/33ca4a6d-2701-4f99-8fd6-db6dd677932d
180b5d44-b37f-4b43-a76c-84e4f7accad8,Friedman Smallbox 50 Head,20,55,https://tonehunt.org/SoothsayerAudio/180b5d44-b37f-4b43-a76c-84e4f7accad8
180b5d44-b37f-4b43-a76c-84e4f7accad8,Friedman Smallbox 50 Head,20,55,https://tonehunt.org/SoothsayerAudio/180b5d44-b37f-4b43-a76c-84e4f7accad8
